Franchise,Average Revenue per Movie
Avengers,654888065.0
Marvel Cinematic Universe,371542272.04347825
The Hunger Games,362884631.5
Pirates of the Caribbean,290356166.6
Shrek,283921698.6
Spider-Man,277812733.7777778
Jurassic Park,269011008.4285714
DC Extended Universe,268460674.125
Star Wars,253961058.85
Disney Live Action Reimaginings,227148258.73333332
Transformers,226057371.57142857
Twilight,195472511.85714287
The Fast and the Furious,187861930.1111111
X-Men,187277669.0
Middle Earth,168402930.0909091
Batman,126916839.31578948
J.K. Rowling's Wizarding World,107655599.6923077
Harry Potter,100227171.5
Star Trek,100092784.64285715
James Bond,84516216.08
