Franchise,Gross Revenue
Marvel Cinematic Universe,22587518639
Star Wars,10324020963
Harry Potter,9195390708
Avengers,7767987269
Spider-Man,7220232624
James Bond,7119674009
Batman,6052346905
X-Men,6033624526
Fast and the Furious,5901315134
Peter Jackson's Lord of the Rings,5858102224
DC Extended Universe,5473505766
Jurassic Park,5009038251
Transformers,4846579018
Pirates of the Caribbean,4517852068
Despicable Me,3713742291
Mission: Impossible,3577703029
Shrek,3546160710
Twilight,3317470739
Ice Age,3179639301
Toy Story,3054046196
